Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2020-10-19T20:00:00Z,AMD,82.17,12,Market On Open,Filled,986.04, 
2020-10-19T20:00:00Z,AAPL,112.4429054,1,Market On Open,Filled,112.4429054, 
2020-10-22T20:00:00Z,ROKU,223.3,1,Market On Open,Filled,223.3, 
2020-10-22T20:00:00Z,TSLA,140.439986,11,Market On Open,Filled,1544.839846, 
2020-10-22T20:00:00Z,ZM,521.71,-14,Market On Open,Filled,-7303.94, 
2020-10-22T20:00:00Z,NVDA,13.39491314,-84,Market On Open,Filled,-1125.172704, 
2020-10-22T20:00:00Z,PYPL,204.9542261,-1,Market On Open,Filled,-204.9542261, 
2020-10-22T20:00:00Z,AMD,80.86,-13,Market On Open,Filled,-1051.18, 
2020-10-22T20:00:00Z,SHOP,100.15,-57,Market On Open,Filled,-5708.55, 
2020-10-26T04:00:00Z,ROKU,223.63,-17,Market On Open,Filled,-3801.71, 
2020-10-26T04:00:00Z,TSLA,136.9799863,-26,Market On Open,Filled,-3561.479644, 
2020-10-26T04:00:00Z,ZM,520,-4,Market On Open,Filled,-2080, 
2020-10-26T04:00:00Z,AMD,82.6,2,Market On Open,Filled,165.2, 
2020-10-26T04:00:00Z,NVDA,13.38419741,-145,Market On Open,Filled,-1940.708624, 
2020-10-26T04:00:00Z,FB,280.6278008,3,Market On Open,Filled,841.8834023, 
2020-10-26T04:00:00Z,GOOG,80.58886905,7,Market On Open,Filled,564.1220834, 
2020-10-26T20:00:00Z,CRM,244.4116384,-4,Market On Open,Filled,-977.6465536,Liquidated 
2020-10-26T20:00:00Z,MA,309.4745916,-1,Market On Open,Filled,-309.4745916,Liquidated 
2020-10-27T20:00:00Z,BRK.B,202.9,-3,Market On Open,Filled,-608.7,Liquidated 
2020-10-28T20:00:00Z,AAPL,108.9069649,-13,Market On Open,Filled,-1415.790544,Liquidated 
2020-10-28T20:00:00Z,ADBE,458.52,-2,Market On Open,Filled,-917.04,Liquidated 
2020-10-28T20:00:00Z,NVDA,12.79757343,-79,Market On Open,Filled,-1011.008301,Liquidated 
2020-10-29T20:00:00Z,SHOP,97.212,-11,Market On Open,Filled,-1069.332,Liquidated 
2020-10-29T20:00:00Z,ZM,481.25,-5,Market On Open,Filled,-2406.25,Liquidated 
2020-10-30T20:00:00Z,TSLA,131.3899869,-37,Market On Open,Filled,-4861.429514,Liquidated 
2020-10-30T20:00:00Z,AMD,75.66,-21,Market On Open,Filled,-1588.86,Liquidated 
2020-10-30T20:00:00Z,PYPL,188.2535153,-9,Market On Open,Filled,-1694.281638,Liquidated 
2020-10-30T20:00:00Z,ROKU,205.66,-40,Market On Open,Filled,-8226.4,Liquidated 
2020-11-02T21:00:00Z,GOOG,80.92461261,78,Market On Open,Filled,6312.119784, 
2020-11-02T21:00:00Z,GOOGL,80.86961671,61,Market On Open,Filled,4933.046619, 
2020-11-05T21:00:00Z,ZM,494.66,25,Market On Open,Filled,12366.5, 
2020-11-05T21:00:00Z,GOOG,86.98337049,-13,Market On Open,Filled,-1130.783816, 
2020-11-05T21:00:00Z,GOOGL,86.85613841,-19,Market On Open,Filled,-1650.26663, 
2020-11-05T21:00:00Z,FB,291.3734751,4,Market On Open,Filled,1165.493901, 
2020-11-05T21:00:00Z,UNH,319.2999904,4,Market On Open,Filled,1277.199962, 
2020-11-05T21:00:00Z,AAPL,114.7427209,9,Market On Open,Filled,1032.684488, 
2020-11-05T21:00:00Z,PYPL,203.5417777,3,Market On Open,Filled,610.625333, 
2020-11-09T05:00:00Z,ROKU,230.29,49,Market On Open,Filled,11284.21, 
2020-11-09T05:00:00Z,AMD,84.38,112,Market On Open,Filled,9450.56, 
2020-11-09T05:00:00Z,GOOGL,89.07777668,13,Market On Open,Filled,1158.011097, 
2020-11-09T05:00:00Z,GOOG,88.81582611,-41,Market On Open,Filled,-3641.448871, 
2020-11-09T05:00:00Z,NVDA,14.48991134,120,Market On Open,Filled,1738.789361, 
2020-11-09T05:00:00Z,FB,287.6030631,-3,Market On Open,Filled,-862.8091892, 
2020-11-09T05:00:00Z,MU,55.1037268,19,Market On Open,Filled,1046.970809, 
2020-11-10T21:00:00Z,ZM,391.79,-25,Market On Open,Filled,-9794.75,Liquidated 
